simulation_id,mean_amplitude,std_amplitude,delta_power,theta_power,alpha_power,beta_power,gamma_power,entropy,line_length,mean_correlation,correlation_std,amplitude_ratio,frequency_change
1,11.580181063146695,4.2173816945739615,0.37277618019180847,0.23191935100838232,1.8908122250318202,1.0580293569088273,0.9914230059125271,0.6243057505774928,17.662102528163548,0.4964783258857276,0.2639956837083195,5.9311936989200404,1.1235142208340558
2,31.53172309728095,11.461750882759054,2.0177470049318575,1.3442718597785468,0.5908067068291247,2.389161778747254,2.8247031603167256,0.1363465924569207,40.4026626316681,0.7573325364407704,0.06985834911156338,7.275620819526429,0.9413615881051447
3,46.98267912566662,6.218981031297755,0.6533862567347731,0.8615985329767176,1.7759694136135866,1.0209450304757928,0.9893478355053111,0.722313719616513,56.24530277336444,0.34613876579326686,0.25412030254745094,5.9311936989200404,1.1235142208340558
4,30.692952618238472,7.8397886906001295,0.3226058290233674,0.7777168698686888,1.2550604204028097,0.8230135791910668,0.5215224485646243,0.5472311500790797,25.57683116640125,0.34214688720464054,0.11134828706482211,5.9311936989200404,1.1235142208340558
5,17.01327437719995,3.7120717629518847,0.7665402291428446,0.4691257453080135,1.5560908859224014,0.5588793706517062,0.29693575216768997,0.5920262875801271,21.702569710157608,0.5915450720326813,0.13327409206947757,5.9311936989200404,1.1235142208340558
6,47.16046027719466,14.975943580690087,0.15637431843450245,0.5139599856442242,1.0959302993145732,1.3672194153404384,0.7828290196924406,0.5911780785595179,59.4726741306619,0.4417406016705313,0.20284398910112808,5.9311936989200404,1.1235142208340558
7,48.83386267596318,17.328610592760427,0.6372153380121299,0.6184413011860959,1.1389715105911995,1.1920583909741216,1.0369617144172831,0.5913834800891472,42.72420762767028,0.583638798000201,0.27069067100702865,5.9311936989200404,1.1235142208340558
8,51.25267778861736,4.657189789790014,0.7015113340368409,0.19376163640460664,1.5204472819432,1.2366512603031072,0.9017457420791348,0.7663229086185714,38.885704739451626,0.540107137127113,0.12385957857813203,5.9311936989200404,1.1235142208340558
9,14.67507284224011,4.490005653937716,0.21511373068375544,0.3623901822244274,1.4569473657737961,1.3242218957771934,0.422846088449958,0.6414140859494312,22.770607976856727,0.3728189446424155,0.10542725424697971,5.9311936989200404,1.1235142208340558
10,25.762049343942977,3.1311565415669054,0.42838261717962695,0.3502141847454005,1.5006205787281575,0.8553756065853344,0.4424823652897501,0.6190982798800978,30.073730746164948,0.3770014271305144,0.130359187756496,5.9311936989200404,1.1235142208340558
