simulation_id,duration,sampling_rate,num_channels,baseline_amplitude,noise_level,has_seizure,seizure_count,time_to_first_seizure,seizure_duration,seizure_amplitude,seizure_frequency
1,28.727005942368123,512,19,12.411785904453316,0.5766967868130947,0,,,,,
2,57.53571532049581,1024,5,19.85967791921739,1.3844499472998402,1,3.0,1790.1258433125267,17.007767492283573,138.87688789577822,10.705546832835363
3,46.59969709057025,256,9,39.053817755988575,1.442596752769548,0,,,,,
4,39.93292420985183,1024,31,28.372363677677182,1.2590140924510227,0,,,,,
5,17.800932022121827,1024,24,14.219657336782065,0.6945240490059316,0,,,,,
6,17.799726016810133,512,29,44.502353516841836,0.6150828821517249,0,,,,,
7,12.904180608409973,1024,28,44.581183472818815,1.235569737135136,0,,,,,
8,53.308807288746756,512,15,44.17602912707031,1.745581703862214,0,,,,,
9,40.05575058716044,128,8,15.745829512169268,1.8987940849544516,0,,,,,
10,45.40362888980228,128,5,25.305770488144464,0.3012210283671395,0,,,,,
11,11.029224714790121,512,19,49.32453452633938,0.3941743639356677,1,2.0,459.2290545458168,70.43306734497412,285.7177975095268,17.503988808382605
12,58.49549260809972,128,8,39.740561433949566,1.8949988916878513,0,,,,,
13,51.622132040021086,256,18,6.222533955150192,1.4994169338361059,0,,,,,
14,20.616955533913806,1024,15,7.934206606722142,1.7776882671765688,0,,,,,
15,19.09124836035503,256,7,25.876911956554974,0.485002004857152,0,,,,,
16,19.17022549267169,1024,18,45.914909263770205,1.2164131551078634,1,2.0,697.2741288025826,66.1201133224094,413.4858439415331,12.882457335325906
17,25.212112147976885,128,14,29.24158090787214,1.4321652293932,0,,,,,
18,36.23782158161189,256,19,27.40156286154306,1.392212582349248,0,,,,,
19,31.597250932105787,128,26,9.746316498048376,0.8754882126467264,0,,,,,
20,24.561457009902096,1024,9,34.555104712593234,0.1292502942134861,0,,,,,
21,40.59264473611897,512,17,41.99464222701015,1.2075595079280999,1,2.0,1084.6209430135543,57.665769666296576,175.17842073114832,4.341807535653009
22,16.97469303260209,512,21,22.118900337840305,0.5808929244412566,0,,,,,
23,24.60723242676091,256,15,39.902533291639735,0.9554830676714916,1,1.0,792.7669487512056,50.63077242267718,80.98694987839713,6.258412420114664
24,28.318092164684586,128,30,48.40144942553652,1.9194039286592528,0,,,,,
25,32.8034992108518,128,14,14.169490660746009,0.858167103520626,0,,,,,
26,49.25879806965068,256,16,28.54983340376336,1.6956230526624108,1,3.0,691.3858601495226,54.58920575939782,94.22842958558087,11.067253952695456
27,19.983689107917986,512,24,17.9212081138059,0.45822715092357713,0,,,,,
28,35.71172192068058,1024,26,40.67844885652277,1.3776749462475548,0,,,,,
29,39.620728443102124,256,14,30.99170146465209,1.9563132134339924,0,,,,,
30,12.322520635999886,1024,26,33.556208789763666,0.2935968916585799,0,,,,,
31,40.37724259507192,512,19,40.906137182715234,0.11580789023166482,0,,,,,
32,18.526206184364575,128,18,22.81867126981047,0.9238073060019673,0,,,,,
33,13.252579649263975,512,24,46.17905307831695,0.2759884177975977,0,,,,,
34,57.44427686266666,256,31,28.9862990260763,1.5219302643848396,0,,,,,
35,58.28160165372797,128,18,12.10796702759066,1.837642461312262,0,,,,,
36,50.419867405823055,256,28,36.31546031759611,0.9246398481466418,0,,,,,
37,25.230688458668535,256,7,40.69676076972145,0.5915521200953378,0,,,,,
38,14.883605700319194,512,14,19.2542754680387,0.9253663061125585,0,,,,,
39,44.211651325607846,256,22,43.573066564943886,1.4745508539150018,1,2.0,1282.9763159938113,70.46926242550146,208.9843753804464,9.145281546970805
40,32.007624686980066,512,18,45.77644646445949,0.11720290700270486,0,,,,,
41,16.10191174223894,128,7,17.460701932001403,1.2199625800209246,1,2.0,408.76608045329505,5.238799524009339,79.02310418846069,9.098359332283678
42,34.75884550556351,512,24,49.25846627218499,1.2652542012860202,0,,,,,
43,11.71942605576092,128,16,11.332018762194128,1.3116076691022773,0,,,,,
44,55.4660201039391,512,25,14.090705078112048,0.5598419519636667,0,,,,,
45,22.938999080000848,1024,22,13.290117765711177,1.4567001744184407,0,,,,,
46,43.1261142176991,1024,5,45.229536950354166,0.2736438240303752,0,,,,,
47,25.585553804470546,256,17,34.443164854623284,0.4786136392869215,0,,,,,
